models,dataset,acc,tokens_used_mean,probe_tokens_used_mean,offline_candidate_layers,online_k_scale
Qwen2.5-7B-Instruct,aime_2024,0.2,1484.65,75,0.6,0.5
Qwen2.5-7B-Instruct,aime_2024,0.2,1680.7,70.8,0.6,0.75
Qwen2.5-7B-Instruct,aime_2024,0.2,1000.75,104.8,0.8,0.5
Qwen2.5-7B-Instruct,aime_2024,0.2,965.6,73.8,0.8,0.75
Qwen2.5-7B-Instruct,aime_2024,0.2,1769.65,77.4,0.8,1
Qwen2.5-7B-Instruct,aime_2024,0.15,1213.2,76.8,0.2,0.25
Qwen2.5-7B-Instruct,aime_2024,0.15,1113.4,75.6,0.2,0.5
Qwen2.5-7B-Instruct,aime_2024,0.15,2211,103.2,0.2,0.75
Qwen2.5-7B-Instruct,aime_2024,0.15,1021.8,71.4,0.2,1
Qwen2.5-7B-Instruct,aime_2024,0.15,1185.25,97.6,0.6,1
Qwen2.5-7B-Instruct,aime_2024,0.1,1856,71.4,0.4,0.5
Qwen2.5-7B-Instruct,aime25,0.15,993.85,133.8,0.2,0.75
Qwen2.5-7B-Instruct,aime25,0.15,1114.55,132,0.6,0.75
Qwen2.5-7B-Instruct,aime25,0.15,926.9,120,0.8,0.25
Qwen2.5-7B-Instruct,aime25,0.1,1727.35,127.4,0.2,0.5
Qwen2.5-7B-Instruct,aime25,0.1,967.9,124.2,0.2,1
Qwen2.5-7B-Instruct,aime25,0.1,1730.25,128.6,0.4,0.25
Qwen2.5-7B-Instruct,aime25,0.1,1134.3,121,0.6,0.25
Qwen2.5-7B-Instruct,aime25,0.1,918.8,121,0.6,0.5
Qwen2.5-7B-Instruct,aime25,0.1,1008.9,95.4,0.8,0.5
Qwen2.5-7B-Instruct,aime25,0.1,1678.75,103.2,0.8,0.75
Qwen2.5-7B-Instruct,aime25,0.05,926.15,121,0.2,0.25
Qwen2.5-7B-Instruct,aime25,0.05,1705.8,125,0.4,0.75
Qwen2.5-7B-Instruct,aime25,0.05,911.3,127,0.4,1
Qwen2.5-7B-Instruct,aime25,0.05,922.85,124,0.6,1
Qwen2.5-7B-Instruct,aime25,0.05,930.95,127.4,0.8,1
Qwen2.5-7B-Instruct,aime25,0,979.75,99.8,0.4,0.5
Qwen2.5-7B-Instruct,amc23,0.666666667,909.5333333,128.2666667,0.4,0.75
Qwen2.5-7B-Instruct,amc23,0.633333333,851.4666667,128.5333333,0.2,1
Qwen2.5-7B-Instruct,amc23,0.633333333,818.0333333,128.5333333,0.6,0.5
Qwen2.5-7B-Instruct,amc23,0.566666667,1348.466667,125.4666667,0.2,0.25
Qwen2.5-7B-Instruct,amc23,0.566666667,910.7666667,134.6666667,0.6,0.25
Qwen2.5-7B-Instruct,amc23,0.566666667,1067.733333,133.3333333,0.6,1
Qwen2.5-7B-Instruct,amc23,0.566666667,1833.633333,117.2,0.8,0.25
Qwen2.5-7B-Instruct,amc23,0.566666667,853.0333333,131.1666667,0.8,0.75
Qwen2.5-7B-Instruct,amc23,0.533333333,805.3333333,133.3333333,0.2,0.5
Qwen2.5-7B-Instruct,amc23,0.533333333,837.5666667,128,0.2,0.75
Qwen2.5-7B-Instruct,amc23,0.533333333,864.3,129.3333333,0.4,0.25
Qwen2.5-7B-Instruct,amc23,0.533333333,1444.3,119.6,0.8,1
Qwen2.5-7B-Instruct,amc23,0.5,976.8,127.3333333,0.4,1
Qwen2.5-7B-Instruct,amc23,0.5,872.3,124.6666667,0.6,0.75
Qwen2.5-7B-Instruct,amc23,0.5,944.3333333,133.7333333,0.8,0.5
Qwen2.5-7B-Instruct,amc23,0.466666667,839.3333333,128.4,0.4,0.5
Qwen2.5-7B-Instruct,arc-c,0.889632107,305.5150502,110.632107,0.6,0.5
Qwen2.5-7B-Instruct,arc-c,0.882943144,304.3377926,106.2943144,0.2,1
Qwen2.5-7B-Instruct,arc-c,0.879598662,304.451505,111.2508361,0.2,0.5
Qwen2.5-7B-Instruct,arc-c,0.879598662,299.3511706,109.2909699,0.8,1
Qwen2.5-7B-Instruct,arc-c,0.872909699,302.3411371,109.2474916,0.8,0.25
Qwen2.5-7B-Instruct,arc-c,0.869565217,306.4113712,108.5618729,0.2,0.25
Qwen2.5-7B-Instruct,arc-c,0.869565217,307.5919732,109.4448161,0.4,0.75
Qwen2.5-7B-Instruct,arc-c,0.869565217,303.2842809,113.4816054,0.6,0.25
Qwen2.5-7B-Instruct,arc-c,0.869565217,307.1839465,108.2809365,0.6,0.75
Qwen2.5-7B-Instruct,arc-c,0.869565217,307.7591973,107.3076923,0.8,0.5
Qwen2.5-7B-Instruct,arc-c,0.866220736,305.2240803,106.5852843,0.2,0.75
Qwen2.5-7B-Instruct,arc-c,0.866220736,307.1304348,108.5652174,0.4,0.5
Qwen2.5-7B-Instruct,arc-c,0.866220736,306.9331104,108.4481605,0.4,1
Qwen2.5-7B-Instruct,arc-c,0.866220736,306.7391304,108.7725753,0.6,1
Qwen2.5-7B-Instruct,arc-c,0.862876254,304.3277592,108.2441472,0.4,0.25
Qwen2.5-7B-Instruct,arc-c,0.862876254,300.2508361,109.0200669,0.8,0.75
Qwen2.5-7B-Instruct,math500,0.71,727.665,121.985,0.2,0.5
Qwen2.5-7B-Instruct,math500,0.7075,754.3325,121.9,0.4,0.5
Qwen2.5-7B-Instruct,math500,0.705,688.245,122.6525,0.6,0.75
Qwen2.5-7B-Instruct,math500,0.7025,710.51,121.6375,0.2,0.75
Qwen2.5-7B-Instruct,math500,0.7,800.365,119.91,0.2,1
Qwen2.5-7B-Instruct,math500,0.6975,776.3275,120.49,0.4,0.25
Qwen2.5-7B-Instruct,math500,0.6975,804.75,120.425,0.4,0.75
Qwen2.5-7B-Instruct,math500,0.6975,675.895,119.5575,0.4,1
Qwen2.5-7B-Instruct,math500,0.6975,724.1175,109.6,0.6,1
Qwen2.5-7B-Instruct,math500,0.6975,651.37,123.3875,0.8,0.25
Qwen2.5-7B-Instruct,math500,0.695,733.73,118.715,0.2,0.25
Qwen2.5-7B-Instruct,math500,0.695,685.305,112.695,0.8,0.5
Qwen2.5-7B-Instruct,math500,0.695,778.23,124.2175,0.8,1
Qwen2.5-7B-Instruct,math500,0.6925,721.2425,122.13,0.8,0.75
Qwen2.5-7B-Instruct,math500,0.69,702.4475,121.0725,0.6,0.25
Qwen2.5-7B-Instruct,math500,0.685,734.575,122.945,0.6,0.5
Qwen2.5-7B-Instruct,openbookqa,0.804,254.764,94.926,0.4,0.75
Qwen2.5-7B-Instruct,openbookqa,0.804,270.738,97.778,0.6,0.25
Qwen2.5-7B-Instruct,openbookqa,0.804,277.018,101.778,0.6,0.5
Qwen2.5-7B-Instruct,openbookqa,0.804,271.436,93.78,0.8,0.25
Qwen2.5-7B-Instruct,openbookqa,0.8,256.164,93.674,0.4,1
Qwen2.5-7B-Instruct,openbookqa,0.796,279.428,106.768,0.2,0.25
Qwen2.5-7B-Instruct,openbookqa,0.79,282.128,99.326,0.6,0.75
Qwen2.5-7B-Instruct,openbookqa,0.786,278.218,102.746,0.2,0.5
Qwen2.5-7B-Instruct,openbookqa,0.786,277.61,103.302,0.2,1
Qwen2.5-7B-Instruct,openbookqa,0.784,280.316,104.562,0.4,0.5
Qwen2.5-7B-Instruct,openbookqa,0.782,272.944,90.01,0.8,0.5
Qwen2.5-7B-Instruct,openbookqa,0.78,282.418,104.792,0.4,0.25
Qwen2.5-7B-Instruct,openbookqa,0.778,278.448,101.692,0.2,0.75
Qwen2.5-7B-Instruct,openbookqa,0.768,239.712,68.33,0.6,1
Qwen2.5-7B-Instruct,openbookqa,0.768,268.71,90.876,0.8,1
Qwen2.5-7B-Instruct,openbookqa,0.762,272.436,97.446,0.8,0.75
DeepSeek-R1-Distill-Qwen-7B,aime25,0.6,9774.15,134.8,0.2,0.2
DeepSeek-R1-Distill-Qwen-7B,aime25,0.6,9653.9,140,0.8,0.05
DeepSeek-R1-Distill-Qwen-7B,aime25,0.55,9707.45,140,0.4,0.1
DeepSeek-R1-Distill-Qwen-7B,aime25,0.55,9768.45,140,0.6,0.4
DeepSeek-R1-Distill-Qwen-7B,aime25,0.55,9692.7,140,0.8,0.1
DeepSeek-R1-Distill-Qwen-7B,aime25,0.55,10044.95,130.6,0.8,0.4
DeepSeek-R1-Distill-Qwen-7B,aime25,0.5,9650.2,132,0.2,0.1
DeepSeek-R1-Distill-Qwen-7B,aime25,0.5,9898.3,132.2,0.2,0.4
DeepSeek-R1-Distill-Qwen-7B,aime25,0.5,10203.35,139.8,0.4,0.2
DeepSeek-R1-Distill-Qwen-7B,aime25,0.5,10011.2,139.6,0.4,0.4
DeepSeek-R1-Distill-Qwen-7B,aime25,0.5,10430.15,140,0.6,0.05
DeepSeek-R1-Distill-Qwen-7B,aime25,0.5,10317.05,139.6,0.8,0.2
DeepSeek-R1-Distill-Qwen-7B,aime25,0.4,10485.85,133.4,0.4,0.05
DeepSeek-R1-Distill-Qwen-7B,aime25,0.4,10217,139.9,0.6,0.1
DeepSeek-R1-Distill-Qwen-7B,aime25,0.4,10311.15,140,0.6,0.2
DeepSeek-R1-Distill-Qwen-7B,aime25,0.35,11690.6,140,0.2,0.05
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.65,9151.8,140,0.8,0.05
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.6,9229.95,140,0.2,0.1
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.6,9169.45,135.9,0.6,0.2
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.6,9357.3,123.8,0.8,0.1
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.55,9825.8,140,0.2,0.05
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.55,9996.1,140,0.2,0.2
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.55,10079.85,140,0.4,0.1
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.55,11027.05,132.2,0.4,0.2
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.55,10185.7,134,0.8,0.2
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.5,9582.95,140,0.4,0.4
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.5,10128.25,140,0.6,0.05
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.5,10611.65,131.8,0.6,0.1
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.5,9253,133.8,0.6,0.4
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.45,10401.3,140,0.4,0.05
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.4,11462.7,140,0.2,0.4
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.4,11538.9,140,0.8,0.4
DeepSeek-R1-Distill-Qwen-7B,amc23,0.933333333,4630.4,112,0.2,0.1
DeepSeek-R1-Distill-Qwen-7B,amc23,0.933333333,4435.233333,112,0.8,0.4
DeepSeek-R1-Distill-Qwen-7B,amc23,0.9,4496.566667,112,0.4,0.1
DeepSeek-R1-Distill-Qwen-7B,amc23,0.9,4782.2,112,0.8,0.05
DeepSeek-R1-Distill-Qwen-7B,amc23,0.9,4462.366667,111.4,0.8,0.1
DeepSeek-R1-Distill-Qwen-7B,amc23,0.866666667,4780.166667,111.4,0.4,0.05
DeepSeek-R1-Distill-Qwen-7B,amc23,0.866666667,4779.666667,112,0.4,0.2
DeepSeek-R1-Distill-Qwen-7B,amc23,0.866666667,5395.5,111.2666667,0.4,0.4
DeepSeek-R1-Distill-Qwen-7B,amc23,0.866666667,5333.633333,130.2666667,0.6,0.05
DeepSeek-R1-Distill-Qwen-7B,amc23,0.866666667,4932.3,111.9,0.6,0.1
DeepSeek-R1-Distill-Qwen-7B,amc23,0.833333333,5333.366667,112,0.2,0.2
DeepSeek-R1-Distill-Qwen-7B,amc23,0.833333333,5190.533333,111.7,0.2,0.4
DeepSeek-R1-Distill-Qwen-7B,amc23,0.8,5162.333333,112,0.6,0.2
DeepSeek-R1-Distill-Qwen-7B,amc23,0.8,5180.1,111.8,0.6,0.4
DeepSeek-R1-Distill-Qwen-7B,amc23,0.8,5691.466667,111.9,0.8,0.2
DeepSeek-R1-Distill-Qwen-7B,amc23,0.733333333,5999.033333,111.6,0.2,0.05
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.829431438,600.1404682,117.3545151,0.8,0.2
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.816053512,598.9498328,115.9498328,0.2,0.1
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.81270903,580.9531773,103.6856187,0.4,0.4
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.809364548,612.6989967,118.0568562,0.2,0.4
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.809364548,582.6454849,108.2943144,0.6,0.05
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.802675585,580.0668896,105.7692308,0.6,0.2
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.799331104,598.6822742,116.6555184,0.8,0.05
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.795986622,610.5050167,106.2307692,0.6,0.1
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.789297659,580.5719064,107.7391304,0.6,0.4
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.789297659,602.6220736,118.2575251,0.8,0.1
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.785953177,589.2073579,116.2842809,0.2,0.05
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.775919732,600.6153846,109.0869565,0.4,0.05
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.769230769,580.3110368,102.9899666,0.4,0.1
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.769230769,595.3846154,108.1772575,0.4,0.2
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.769230769,600.3946488,117.8361204,0.8,0.4
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.765886288,599.0535117,111.2307692,0.2,0.2
DeepSeek-R1-Distill-Qwen-7B,math500,0.8225,2879.6175,135.31,0.4,0.4
DeepSeek-R1-Distill-Qwen-7B,math500,0.8175,2702.4275,133.08,0.8,0.1
DeepSeek-R1-Distill-Qwen-7B,math500,0.815,3066.375,131.1425,0.8,0.4
DeepSeek-R1-Distill-Qwen-7B,math500,0.81,2765.1625,134.37,0.2,0.05
DeepSeek-R1-Distill-Qwen-7B,math500,0.8,2934.8525,132.4975,0.4,0.1
DeepSeek-R1-Distill-Qwen-7B,math500,0.7975,3025.8275,134.9775,0.2,0.1
DeepSeek-R1-Distill-Qwen-7B,math500,0.7975,2883.0525,129.555,0.6,0.05
DeepSeek-R1-Distill-Qwen-7B,math500,0.7975,2764.3125,134.6725,0.8,0.05
DeepSeek-R1-Distill-Qwen-7B,math500,0.7975,2780.2625,133.02,0.8,0.2
DeepSeek-R1-Distill-Qwen-7B,math500,0.7925,2835.415,134.0575,0.2,0.2
DeepSeek-R1-Distill-Qwen-7B,math500,0.79,2824.3325,134.2825,0.2,0.4
DeepSeek-R1-Distill-Qwen-7B,math500,0.79,2726.4625,133.8675,0.6,0.1
DeepSeek-R1-Distill-Qwen-7B,math500,0.79,2857.125,132.73,0.6,0.2
DeepSeek-R1-Distill-Qwen-7B,math500,0.7875,2970.92,131.7325,0.4,0.05
DeepSeek-R1-Distill-Qwen-7B,math500,0.7875,2935.65,135.84,0.4,0.2
DeepSeek-R1-Distill-Qwen-7B,math500,0.7825,2700.8425,132.9225,0.6,0.4
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.768,591.802,120.796,0.2,0.05
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.756,595.992,120.118,0.2,0.4
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.75,585.606,117.434,0.4,0.2
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.75,567.24,112.184,0.4,0.4
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.748,560.844,116.714,0.6,0.4
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.746,587.314,117.812,0.6,0.2
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.742,597.042,120.332,0.2,0.1
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.742,597.274,119.802,0.2,0.2
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.74,574.192,116.45,0.8,0.1
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.738,596.638,114.792,0.6,0.05
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.734,594.182,106.012,0.4,0.1
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.732,585.89,112.686,0.4,0.05
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.728,588.302,120.874,0.8,0.05
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.724,591.974,114.856,0.6,0.1
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.714,590.244,114.336,0.8,0.2
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.664,511.65,112.782,0.8,0.4
Qwen2.5-7B-Instruct,aime25,0.2,993.6,130.6,0.4,0.1
Qwen2.5-7B-Instruct,aime25,0.2,971.55,132.8,0.4,0.4
Qwen2.5-7B-Instruct,aime25,0.2,937.85,126,0.6,0.05
Qwen2.5-7B-Instruct,aime25,0.2,978.35,127.4,0.6,0.4
Qwen2.5-7B-Instruct,aime25,0.15,997.85,128.8,0.4,0.05
Qwen2.5-7B-Instruct,aime25,0.15,990.55,116.6,0.6,0.1
Qwen2.5-7B-Instruct,aime25,0.15,1024.95,127.2,0.8,0.4
Qwen2.5-7B-Instruct,aime25,0.1,1007.05,132,0.2,0.05
Qwen2.5-7B-Instruct,aime25,0.1,994.6,123.2,0.4,0.2
Qwen2.5-7B-Instruct,aime25,0.1,984.05,117.6,0.8,0.05
Qwen2.5-7B-Instruct,aime25,0.1,914.25,116,0.8,0.2
Qwen2.5-7B-Instruct,aime25,0.05,958.1,116.6,0.2,0.1
Qwen2.5-7B-Instruct,aime25,0.05,912.85,128.2,0.2,0.4
Qwen2.5-7B-Instruct,aime25,0.05,2471.15,132,0.6,0.2
Qwen2.5-7B-Instruct,aime25,0.05,971.2,123.8,0.8,0.1
Qwen2.5-7B-Instruct,aime25,0,982.95,122.8,0.2,0.2
Qwen2.5-7B-Instruct,aime_2024,0.25,1176.95,71.4,0.2,0.1
Qwen2.5-7B-Instruct,aime_2024,0.25,1096.55,74.4,0.2,0.2
Qwen2.5-7B-Instruct,aime_2024,0.25,2451.8,70.8,0.4,0.4
Qwen2.5-7B-Instruct,aime_2024,0.25,1301.55,120.8,0.8,0.2
Qwen2.5-7B-Instruct,aime_2024,0.2,1106.5,119,0.2,0.05
Qwen2.5-7B-Instruct,aime_2024,0.2,1158.6,120.2,0.4,0.05
Qwen2.5-7B-Instruct,aime_2024,0.2,1084.3,115.8,0.4,0.1
Qwen2.5-7B-Instruct,aime_2024,0.2,1173.75,116.8,0.4,0.2
Qwen2.5-7B-Instruct,aime_2024,0.2,1269.2,117.4,0.6,0.05
Qwen2.5-7B-Instruct,aime_2024,0.2,1097.9,123.6,0.6,0.1
Qwen2.5-7B-Instruct,aime_2024,0.2,1963.25,114.4,0.6,0.2
Qwen2.5-7B-Instruct,aime_2024,0.2,1108.55,65.4,0.6,0.4
Qwen2.5-7B-Instruct,aime_2024,0.2,1896.85,121.8,0.8,0.05
Qwen2.5-7B-Instruct,aime_2024,0.2,2632.55,72.6,0.8,0.1
Qwen2.5-7B-Instruct,aime_2024,0.2,1690.9,120.6,0.8,0.4
Qwen2.5-7B-Instruct,aime_2024,0.15,2558.6,123.6,0.2,0.4
Qwen2.5-7B-Instruct,amc23,0.666666667,888.4,135.2,0.2,0.4
Qwen2.5-7B-Instruct,amc23,0.566666667,837.5666667,132.5333333,0.2,0.05
Qwen2.5-7B-Instruct,amc23,0.566666667,1331.4,122.6666667,0.2,0.1
Qwen2.5-7B-Instruct,amc23,0.566666667,855.8666667,130.9333333,0.2,0.2
Qwen2.5-7B-Instruct,amc23,0.566666667,797.6,121.0666667,0.4,0.2
Qwen2.5-7B-Instruct,amc23,0.533333333,888.8,130.4,0.4,0.1
Qwen2.5-7B-Instruct,amc23,0.533333333,825.8,122.2666667,0.6,0.2
Qwen2.5-7B-Instruct,amc23,0.533333333,1830.666667,131.7333333,0.6,0.4
Qwen2.5-7B-Instruct,amc23,0.533333333,1402.866667,127.3333333,0.8,0.05
Qwen2.5-7B-Instruct,amc23,0.533333333,847.4,129.4666667,0.8,0.1
Qwen2.5-7B-Instruct,amc23,0.466666667,884.5,127.8666667,0.4,0.4
Qwen2.5-7B-Instruct,amc23,0.466666667,1296.6,116.9333333,0.6,0.05
Qwen2.5-7B-Instruct,amc23,0.466666667,1366.766667,133.2,0.8,0.2
Qwen2.5-7B-Instruct,amc23,0.433333333,919.4333333,121.6,0.4,0.05
Qwen2.5-7B-Instruct,amc23,0.433333333,838.8666667,129.7333333,0.6,0.1
Qwen2.5-7B-Instruct,amc23,0.433333333,1406.133333,135.2,0.8,0.4
Qwen2.5-7B-Instruct,arc-c,0.879598662,300.180602,105.7023411,0.6,0.4
Qwen2.5-7B-Instruct,arc-c,0.876254181,306.0468227,111.5518395,0.8,0.1
Qwen2.5-7B-Instruct,arc-c,0.872909699,304.0267559,112.8662207,0.2,0.2
Qwen2.5-7B-Instruct,arc-c,0.869565217,305.8628763,113.4481605,0.2,0.05
Qwen2.5-7B-Instruct,arc-c,0.869565217,304.8026756,109.7023411,0.6,0.05
Qwen2.5-7B-Instruct,arc-c,0.866220736,306.4414716,113.3879599,0.2,0.1
Qwen2.5-7B-Instruct,arc-c,0.866220736,304.3344482,109.0568562,0.2,0.4
Qwen2.5-7B-Instruct,arc-c,0.866220736,307.8528428,113.3779264,0.4,0.4
Qwen2.5-7B-Instruct,arc-c,0.862876254,304.8662207,111.1103679,0.4,0.05
Qwen2.5-7B-Instruct,arc-c,0.862876254,303.1538462,109.4648829,0.6,0.1
Qwen2.5-7B-Instruct,arc-c,0.862876254,305.6254181,109.9966555,0.8,0.05
Qwen2.5-7B-Instruct,arc-c,0.859531773,306.9732441,110.5317726,0.4,0.2
Qwen2.5-7B-Instruct,arc-c,0.856187291,307.8026756,111.1103679,0.6,0.2
Qwen2.5-7B-Instruct,arc-c,0.852842809,306.1371237,114.6187291,0.4,0.1
Qwen2.5-7B-Instruct,arc-c,0.842809365,298.6354515,100.8294314,0.8,0.4
Qwen2.5-7B-Instruct,arc-c,0.839464883,306.4481605,110.6020067,0.8,0.2
Qwen2.5-7B-Instruct,math500,0.715,717.875,125.26,0.8,0.1
Qwen2.5-7B-Instruct,math500,0.7125,696.3775,119.2775,0.2,0.2
Qwen2.5-7B-Instruct,math500,0.7075,758.555,120.11,0.4,0.1
Qwen2.5-7B-Instruct,math500,0.705,662.34,121.48,0.6,0.05
Qwen2.5-7B-Instruct,math500,0.7,778.58,121.4025,0.6,0.1
Qwen2.5-7B-Instruct,math500,0.7,622.55,122.6125,0.6,0.4
Qwen2.5-7B-Instruct,math500,0.7,655.81,126.49,0.8,0.05
Qwen2.5-7B-Instruct,math500,0.6975,753.375,122.13,0.6,0.2
Qwen2.5-7B-Instruct,math500,0.6925,696.5475,124.095,0.2,0.4
Qwen2.5-7B-Instruct,math500,0.6925,651.6825,123.5475,0.8,0.2
Qwen2.5-7B-Instruct,math500,0.69,698.48,118.085,0.4,0.4
Qwen2.5-7B-Instruct,math500,0.69,697.915,124.1575,0.8,0.4
Qwen2.5-7B-Instruct,math500,0.6875,710.0825,116.66,0.2,0.1
Qwen2.5-7B-Instruct,math500,0.685,773.25,118.76,0.2,0.05
Qwen2.5-7B-Instruct,math500,0.6825,676.76,120.27,0.4,0.2
Qwen2.5-7B-Instruct,math500,0.6775,755.665,120.2,0.4,0.05
Qwen2.5-7B-Instruct,openbookqa,0.804,277.266,99.87,0.2,0.05
Qwen2.5-7B-Instruct,openbookqa,0.802,278.142,103.342,0.4,0.05
Qwen2.5-7B-Instruct,openbookqa,0.8,279.19,100.198,0.2,0.4
Qwen2.5-7B-Instruct,openbookqa,0.798,276.956,102.342,0.4,0.1
Qwen2.5-7B-Instruct,openbookqa,0.796,279.038,104.038,0.2,0.1
Qwen2.5-7B-Instruct,openbookqa,0.794,278.7,100.088,0.4,0.2
Qwen2.5-7B-Instruct,openbookqa,0.792,274.634,96.548,0.8,0.05
Qwen2.5-7B-Instruct,openbookqa,0.79,278.904,98.334,0.6,0.1
Qwen2.5-7B-Instruct,openbookqa,0.79,271.082,97.242,0.6,0.4
Qwen2.5-7B-Instruct,openbookqa,0.786,277.006,101.416,0.4,0.4
Qwen2.5-7B-Instruct,openbookqa,0.782,279.932,102.118,0.2,0.2
Qwen2.5-7B-Instruct,openbookqa,0.78,279.344,104.408,0.6,0.2
Qwen2.5-7B-Instruct,openbookqa,0.78,274.25,102.3,0.8,0.1
Qwen2.5-7B-Instruct,openbookqa,0.776,279.336,101.49,0.6,0.05
Qwen2.5-7B-Instruct,openbookqa,0.764,269.754,93.696,0.8,0.4
Qwen2.5-7B-Instruct,openbookqa,0.762,273.018,100.578,0.8,0.2
