models,dataset,acc,tokens_used_mean,probe_tokens_used_mean,offline_candidate_layers,online_k_scale
DeepSeek-R1-Distill-Qwen-1.5B,arc-c,0.538461538,650.083612,123.7725753,0.8,0.25
DeepSeek-R1-Distill-Qwen-1.5B,arc-c,0.535117057,527.6688963,100.3478261,0.6,0.75
DeepSeek-R1-Distill-Qwen-1.5B,arc-c,0.525083612,584.3812709,114.361204,0.6,0.5
DeepSeek-R1-Distill-Qwen-1.5B,arc-c,0.518394649,643.8996656,119.1103679,0.4,0.25
DeepSeek-R1-Distill-Qwen-1.5B,arc-c,0.515050167,621.2876254,124.7892977,0.8,0.5
DeepSeek-R1-Distill-Qwen-1.5B,arc-c,0.508361204,638.0602007,116.7725753,0.2,0.75
DeepSeek-R1-Distill-Qwen-1.5B,arc-c,0.508361204,559.9665552,113.2274247,0.8,0.75
DeepSeek-R1-Distill-Qwen-1.5B,arc-c,0.498327759,669.4615385,117.1973244,0.6,0.25
DeepSeek-R1-Distill-Qwen-1.5B,arc-c,0.498327759,444.458194,92.50167224,0.6,1
DeepSeek-R1-Distill-Qwen-1.5B,arc-c,0.468227425,488.9966555,107.7725753,0.4,1
DeepSeek-R1-Distill-Qwen-1.5B,math500,0.6325,4369.1675,135.2725,0.8,0.5
DeepSeek-R1-Distill-Qwen-1.5B,math500,0.6275,4190.2425,136.365,0.8,0.25
DeepSeek-R1-Distill-Qwen-1.5B,math500,0.6275,3670.95,136.3175,0.8,1
DeepSeek-R1-Distill-Qwen-1.5B,math500,0.625,4444.2175,135.06,0.2,0.75
DeepSeek-R1-Distill-Qwen-1.5B,math500,0.6225,4771.265,137.37,0.2,0.5
DeepSeek-R1-Distill-Qwen-1.5B,math500,0.6225,4504.5275,137.5675,0.4,0.75
DeepSeek-R1-Distill-Qwen-1.5B,math500,0.6225,4453.7475,137.725,0.6,0.5
DeepSeek-R1-Distill-Qwen-1.5B,math500,0.6175,4278.295,134.9025,0.4,0.25
DeepSeek-R1-Distill-Qwen-1.5B,math500,0.615,4163.9625,135.0775,0.6,0.75
DeepSeek-R1-Distill-Qwen-1.5B,math500,0.6125,4336.6525,134.1125,0.2,0.25
DeepSeek-R1-Distill-Qwen-1.5B,math500,0.6125,4366.52,130.555,0.6,1
DeepSeek-R1-Distill-Qwen-1.5B,math500,0.6075,4415.375,134.5475,0.4,1
DeepSeek-R1-Distill-Qwen-1.5B,math500,0.5975,4698.62,135.9925,0.6,0.25
DeepSeek-R1-Distill-Qwen-1.5B,math500,0.5975,4469.0825,137.2925,0.8,0.75
DeepSeek-R1-Distill-Qwen-1.5B,math500,0.595,4661.25,134.8875,0.2,1
DeepSeek-R1-Distill-Qwen-1.5B,math500,0.5925,4879.275,137.7275,0.4,0.5
DeepSeek-R1-Distill-Qwen-1.5B,openbookqa,0.514,629.538,117.078,0.2,0.75
DeepSeek-R1-Distill-Qwen-1.5B,openbookqa,0.512,636.73,121.522,0.2,0.25
DeepSeek-R1-Distill-Qwen-1.5B,openbookqa,0.51,614.234,120.872,0.2,1
DeepSeek-R1-Distill-Qwen-1.5B,openbookqa,0.51,635.39,125.418,0.4,0.5
DeepSeek-R1-Distill-Qwen-1.5B,openbookqa,0.51,641.552,125.016,0.4,0.75
DeepSeek-R1-Distill-Qwen-1.5B,openbookqa,0.506,537.764,113.71,0.4,1
DeepSeek-R1-Distill-Qwen-1.5B,openbookqa,0.502,662.494,125.42,0.8,0.25
DeepSeek-R1-Distill-Qwen-1.5B,openbookqa,0.496,649.29,122.364,0.6,0.75
DeepSeek-R1-Distill-Qwen-1.5B,openbookqa,0.486,638.024,124.5,0.4,0.25
DeepSeek-R1-Distill-Qwen-1.5B,openbookqa,0.486,504.316,117.338,0.8,1
